name,core_count,core_clock,boost_clock,tdp,graphics,smt,brand,series,model,cpu_mark,thread_mark,socket,offers,image
AMD Athlon X4 950,4,3.5,3.8,65,,False,AMD,Athlon,X4 950,3598,1637,AM4,"[{""retailer"": ""eBay"", ""price"": ""24.9"", ""url"": ""https://geizhals.de/redir/AgAAAP2D2TKQ--w9De70kI3rJ40it21WElzwvcKn83noRr0amKA_l00OTCZmqwsAFNUKablw9Luyg1ObaxQsuXHbtvQd0keXLqDK4mco61i37uXf4WNFxBDee3EPMFX4P3kkWz4CZ_Nd7wTkmzUKX3d_w6BNbyzEeoHsIWDznllyFo4cGZ5IEG9z-XEEbcDS5RRG6-yOPDwB5jJMerY5BG-6fkgFwTFgO1qlvBsa8YyCD2CYGDIg2OSZsElTn_dPcozsXXjUuXmmc6PArgxUFHwG3cb_ngPQbDb4D5-kZzTdZPeW"", ""source"": ""geizhals""}, {""retailer"": ""Proshop.de"", ""price"": ""39.99"", ""url"": ""https://geizhals.de/redir/AgAAAPUkoVKGiMEztI3RsZYM_2cflWZXOX5zj8yOi5dOuz94Bg0YpEiXsPrraIz9MOhWqu1EI1XlagjfVLfAmqE5jruNxYRYDF87yV2sdn3oZ2a3ujEIzbanAeQMqwa_tCyud9ezqnlpzhOya7pGa50EOsh4q_s7ZF3NKB6l-pyni9DhYstjnL5-mmabwaQdEFGvc5v5AAi9i013GO5WSK6CGKpbYHWNXPSXwiPyYuVygoHHi4c6Wj55KYAZdqDs-tU_clS5csezrX9D3J-hfhI1Lvw"", ""source"": ""geizhals""}, {""retailer"": ""galaxus"", ""price"": ""48.28"", ""url"": ""https://geizhals.de/redir/AgAAAMpRBuvqBJF9zeg_ZxY50NxJaKHui4kljD5nAfhsT4X296nnfQg8ZFy5_fRqIyhs4SYuUmmpZ0AKeg1A9KY4tTHzFJf23s3aKMktYisD4C7dGEeU5nhOrQ3fi4PoZGXvmDXGY5fjva5Y3Z1xdWgYV3RAC9oiSDByisPZes8fWiUHvqKHNFbL8SVX3UqSTduftjEjqvVpp9lahAP6GgrNFX3QvAl11t8nSt1EEog1rg3-PSCFaiuL5WfpiXjAELqBGoUVDltQUUEp_12nhmZ0jyN57PcAVPZXD0BZmg3H10p0eNS5eaZzo8CuDFQUfAbdxjPUZyWKz4MYyaQR5CbOJsM"", ""source"": ""geizhals""}, {""retailer"": ""Amazon"", ""price"": ""49.99"", ""url"": ""https://geizhals.de/redir/AgAAAA6yy-SBKo5reUpayJ3gN33dX33nfe9sNx-mhVqm-HVjLCYpPPjV_InmSFYnLFI7CeEpT6VkVkQroY6ZXpWD5MLts5Bl2MiB_2swf0eJBk1CNjTN119d0t1AOWdO_zD_01jahv-WyWJYgSyRepzxuRqDbqVVC1-7xf26TmccLZHZEmSLu96aIhxSpuuMWqiLkAkSoSiZguwCgxfKQtUlJW4PkPniUVWLRQOTvMFRSwGOfGVnlsmGKWtEZOxm-0Kxjw"", ""source"": ""geizhals""}]",https://gzhls.at/i/41/65/1664165-n0.jpg
AMD FX-4100,4,3.6,,95,,False,AMD,FX,4100,2615,1286,AM3+,[],
AMD FX-4130,4,3.8,,125,,False,AMD,FX,4130,2703,1342,AM3+,[],
AMD FX-4150,4,4.0,4.1,125,,False,AMD,FX,4150,3327,1465,AM3+,[],
AMD FX-4170,4,4.2,,125,,False,AMD,FX,4170,3047,1469,AM3+,[],
AMD FX-4200,4,3.3,,125,,False,AMD,FX,4200,3119,1313,AM3+,[],
AMD FX-4300,4,3.8,,95,,False,AMD,FX,4300,2980,1476,AM3+,[],
AMD FX-4350,4,4.2,,125,,False,AMD,FX,4350,3279,1604,AM3+,[],
AMD FX-6100,6,3.3,,95,,False,AMD,FX,6100,3698,1318,AM3+,[],
AMD FX-6120,6,3.5,4.1,95,,False,AMD,FX,6120,3909,1413,AM3+,[],
AMD FX-6130,6,3.6,3.9,125,,False,AMD,FX,6130,4353,1390,AM3+,[],
AMD FX-4320,4,4.0,4.2,95,,False,AMD,FX,4320,3150,1564,AM3+,[],
AMD FX-6300,6,3.5,,95,,False,AMD,FX,6300,4213,1486,AM3+,[],
AMD FX-6200,6,3.8,,125,,False,AMD,FX,6200,4075,1400,AM3+,[],
AMD FX-6350,6,3.9,,125,,False,AMD,FX,6350,4619,1575,AM3+,[],
AMD FX-8100,8,2.8,,95,,False,AMD,FX,8100,4073,1154,AM3+,[],
AMD FX-8120,8,3.1,,125,,False,AMD,FX,8120,4630,1331,AM3+,[],
AMD FX-8140,8,3.2,4.1,95,,False,AMD,FX,8140,4860,1273,AM3+,[],
AMD FX-8150,8,3.6,,125,,False,AMD,FX,8150,5291,1433,AM3+,[],
AMD FX-8310,8,3.4,4.3,95,,False,AMD,FX,8310,5065,1409,AM3+,[],
AMD FX-8300,8,3.3,,95,,False,AMD,FX,8300,5336,1489,AM3+,[],
AMD FX-8320,8,3.5,,125,,False,AMD,FX,8320,5442,1465,AM3+,[],
AMD FX-8320E,8,3.2,4.0,95,,False,AMD,FX,8320E,5106,1432,AM3+,[],
AMD FX-8350,8,4.0,,125,,False,AMD,FX,8350,6071,1581,AM3+,[],
AMD FX-8370,8,4.0,4.3,125,,False,AMD,FX,8370,6148,1619,AM3+,[],
