name,image,url,brand,VRAM,model,vram_gb,g3d_mark,g2d_mark,tdp,product_code,offers
Sapphire Toxic Radeon RX 6900 XT 16 GB Video Card (11308-11-20G),https://cdna.pcpartpicker.com/static/forever/images/product/2ffadcd11a9a7993d93fc4d25d3279c1.256p.jpg,https://pcpartpicker.com/product/pYqPxr/sapphire-radeon-rx-6900-xt-16-gb-toxic-video-card-11308-11-20g,Radeon,16,RX 6900 XT,16,26728,1048,300,11308-11-20G,[]
Sapphire TOXIC Limited Edition Radeon RX 6900 XT 16 GB Video Card (11308-06-20G),https://cdna.pcpartpicker.com/static/forever/images/product/d7b812c13e701918185c0e697f28abf4.256p.jpg,https://pcpartpicker.com/product/yhM48d/sapphire-radeon-rx-6900-xt-16-gb-toxic-limited-edition-video-card-11308-06-20g,Radeon,16,RX 6900 XT,16,26728,1048,300,11308-06-20G,[]
PowerColor Red Devil Limited Edition Radeon RX 6900 XT 16 GB Video Card (AXRX 6900XT 16GBD6-2DHCE/OC),https://cdna.pcpartpicker.com/static/forever/images/product/e24e530e0f9bfeb18526cac795544654.256p.jpg,https://pcpartpicker.com/product/DxhmP6/powercolor-radeon-rx-6900-xt-16-gb-red-devil-limited-edition-video-card-axrx-6900xt-16gbd6-2dhceoc,Radeon,16,RX 6900 XT,16,26728,1048,300,AXRX 6900XT 16GBD6-2DHCE/OC,[]
XFX Speedster MERC 319 Radeon RX 6900 XT 16 GB Video Card (RX-69XTACBD9),https://cdna.pcpartpicker.com/static/forever/images/product/06dcb29cc5aa50929e1b7104561d1f1b.256p.jpg,https://pcpartpicker.com/product/P6n8TW/xfx-radeon-rx-6900-xt-16-gb-speedster-merc-319-video-card-rx-69xtacbd9,Radeon,16,RX 6900 XT,16,26728,1048,300,RX-69XTACBD9,"[{""retailer"": ""Amazon.de"", ""price"": ""2033.16"", ""url"": ""https://geizhals.de/redir/AgAAALh8vXuC_3qPcDUnJV0dXoNYRaMiotf7U_573CTAREa0LCYpPPjV_InmSFYnLFI7CeEpT6VkVkQroY6ZXpWD5MJj4nUl43uBNONVZg1ajsxG_Qgb7hxoviGgLUtDuh4hDU6Cqw9k9YXM2lk5Z8sLfQuYJ43IaA8oG_YSlu3XfWl7yWPHm2mAxzQWVOza4RhjEXOlwNt0eQFqWd9PhOEA1Pz7SRb53XIIRTzJtnGCCnGpLqEKPV8pgY95YW7IThrYUw"", ""source"": ""geizhals""}]"
Asus TUF Gaming TOP Radeon RX 6900 XT 16 GB Video Card (TUF-RX6900XT-T16G-GAMING),https://cdna.pcpartpicker.com/static/forever/images/product/149d706e151c960d37b99d18a6104f7b.256p.jpg,https://pcpartpicker.com/product/qbM48d/asus-tuf-gaming-top-radeon-rx-6900-xt-16-gb-video-card-tuf-rx6900xt-t16g-gaming,Radeon,16,RX 6900 XT,16,26728,1048,300,TUF-RX6900XT-T16G-GAMING,[]
ASRock RX6900XT 16G Radeon RX 6900 XT 16 GB Video Card (RX6900XT 16G),https://cdna.pcpartpicker.com/static/forever/images/product/c64ca8bf6bc7b7b4059312efc0dab23e.256p.jpg,https://pcpartpicker.com/product/CFBhP6/asrock-radeon-rx-6900-xt-16-gb-video-card-rx6900xt-16g,Radeon,16,RX 6900 XT,16,26728,1048,300,RX6900XT 16G,[]
XFX RX-69TMATFD8 Radeon RX 6900 XT 16 GB Video Card (RX-69TMATFD8),https://m.media-amazon.com/images/I/41L0ECbRfzL.jpg,https://pcpartpicker.com/product/Tdytt6/xfx-radeon-rx-6900-xt-16-gb-video-card-rx-69tmatfd8,Radeon,16,RX 6900 XT,16,26728,1048,300,RX-69TMATFD8,[]
Asus RX6900XT-16G Radeon RX 6900 XT 16 GB Video Card (RX6900XT-16G),https://cdna.pcpartpicker.com/static/forever/images/product/2da300ffa232ae15b9142503117dd4fb.256p.jpg,https://pcpartpicker.com/product/2WGbt6/asus-radeon-rx-6900-xt-16-gb-video-card-rx6900xt-16g,Radeon,16,RX 6900 XT,16,26728,1048,300,RX6900XT-16G,[]
Sapphire TOXIC Limited Edition Radeon RX 6900 XT 16 GB Video Card (11308-13-20G),https://cdna.pcpartpicker.com/static/forever/images/product/0c71576e2613636225574af817a67ddf.256p.jpg,https://pcpartpicker.com/product/QdcG3C/sapphire-radeon-rx-6900-xt-16-gb-toxic-limited-edition-video-card-11308-13-20g,Radeon,16,RX 6900 XT,16,26728,1048,300,11308-13-20G,[]
XFX Speedster MERC 319 Ultra Radeon RX 6900 XT 16 GB Video Card (RX-69XTACUD9),https://cdna.pcpartpicker.com/static/forever/images/product/dab9f33334393b49ec1a6b5b545bd6d2.256p.jpg,https://pcpartpicker.com/product/McQfrH/xfx-radeon-rx-6900-xt-16-gb-speedster-merc-319-ultra-video-card-rx-69xtacud9,Radeon,16,RX 6900 XT,16,26728,1048,300,RX-69XTACUD9,[]
